Study ID,Study_Publication_Year,Study Class,Treatment Focus (Study level),N Randomized,N Randomized Detail,PTSD Criteria Met at Baseline Percent,PTSD Criteria Met at Baseline Percent Detail,PTSD Severity at Baseline Definition,PTSD Severity at Baseline Mean,PTSD Severity at Baseline Standard Deviation,PTSD Severity at Baseline Detail,Additional PTSD Severity Data,Duration of Symptoms/Diagnosis Mean,Duration of Symptoms/Diagnosis Standard Deviation,Duration of Symptoms/Diagnosis Detail,Active Duty Military Percent,Service-Connected Veteran Percent,Service-Connected Veteran Percent Detail,Veteran Percent,Community Percent,Military Status,Military Status Detail,Age Mean,Age Standard Deviation,Age Detail,Female Percent,Female Detail,Male Percent,Race/Ethnicity Reported,"Race, White","Race, Black","Race, AIAN","Race, Asian","Race, NHPI","Race, Other","Race, Detail","Ethnicity, Hispanic","Ethnicity, Hispanic Detail",Percent Treatment-naive,Percent Treatment-naive Detail,Percent with Depression,Percent with Depression Detail,Percent with TBI History,Percent with TBI History Detail,Trauma Type,Trauma Detail,Trauma Types Mean,Trauma Types Standard Deviation,Trauma Types Detail,Trauma Events Mean,Trauma Events Standard Deviation,Trauma Events Detail,SUD Substance Class,SUD Specific Substance Target,Current SUD Inclusion/Exclusion Criteria,Percent With Any SUD Detail,Patients with Suicidality Excluded,Suicide or Self-Directed Violence Exclusion/Inclusion Criteria,Suicide or Self-Directed Violence Definition,Suicide or Self-Directed Violence Percent,Suicide or Self-Directed Violence Detail,Psychotic Disorder or Symptom Inclusion/Exclusion Criteria,Psychotic Disorder or Symptom Related Definition,Psychotic Disorder or Symptom Related Percent,Psychotic Disorder or Symptom Related Detail,Personality Disorder Definition,Personality Disorder Percent,Personality Disorder Detail,Anxiety Disorder Definition,Anxiety Disorder Percent,Anxiety Disorder Detail,Prior Inpatient Hospitalization Percent,Prior Inpatient Hospitalization Percent Detail,Geometric Point,Risk of Bias Rating,Citation,PTSDPubs ID,Year Added to PTSD-Repository
abdallah2022,2022,Pharmacotherapy,PTSD,158,"n=163 randomized, n=5 excluded ""never began"" treatment",1,,CAPS-5,39.2,8.5,,Additional definitions of PTSD severity at baseline reported in the study,,,,0.3228,,,0.6772,0,Mixed,Veteran and active duty military,43.5,11.6,,0.2342,,0.7658,Race and Ethnicity data reported,0.5949,0.1266,,,,0.2785,"""White Non-Hispanic"" entered as White; ""Hispanic"" and ""Other"" entered as Other (Hispanic also entered separately under ethnicity)",0.1962,,,Inclusion limited to participants with prior nonresponse to at least 1 antidepressant for treatment of PTSD or depression,0.99,Current major depressive episode,0%,"Severe: 0% (excluded)
Mild/moderate: NR",,,,,,,,,,,Included,"Current moderate or severe SUD: 0% (excluded)
Mild to moderate AUD: NR (allowed but % not provided)",,,,,Suicidal risk meriting crisis intervention excluded,,Psychotic disorder or features,0,Exclusion criterion,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.",1586306,2023
abraham2022,2022,Other study class,PTSD,29,,1,,PCL-C,60.9,12.9,,Additional definitions of PTSD severity at baseline reported in the study,,,Time since last PTSD diagnosis: ≤2 months: 38%; 2-3 months: 31%; > 3 months: 31%,,,,,0,Mixed,"""included active duty, reserve, and National Guard service members""",32,7,,0.28,,0.72,Race and Ethnicity data reported,0.55,0.14,,,,0.31,"""Other"" includes ""other or biracial"" and ""Hispanic/Latino"" as reported in paper",0.1,,0%,All patients receiving concurrent individual psychotherapy; 93% were on psychotropic medication,,,0%,"Severe TBI: 0% (excluded)
Sustained head injury: 59%",,,,,,,,,,,Excluded,Active substance abuse disorder: 0% (excluded),,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Abraham PA, Kazman JB, Bonner JA, et al. Effects of training service dogs on service members with PTSD: A pilot-feasibility randomized study with mixed methods. Military Psychology. 2022;34(2):187-96. doi: 10.1080/08995605.2021.1984126.",1620165,2023
acarturk2016,2016,Psychotherapy,PTSD,98,,1,,IES-R,61.12,13.07,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,33.68,10.56,,0.7449,,0.2551,,,,,,,,,,,,,,,,,Terrorism/political violence/forced displacement,,,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (35.16896 39.0616),Some Concerns,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acierno2017,2017,Psychotherapy,PTSD,150,,1,,PCL-M,59.2,11.2,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,1,,Veteran,,41.8,14.5,,0.0379,,0.9621,Race and Ethnicity data reported,0.6061,0.3333,,,,0.0606,,0.053,,,,,,,,Combat-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2021,2021,Psychotherapy,PTSD,136,,1,,PCL-5,52.6,12.63,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,43.4,11.51,,1,,0,Race and Ethnicity data reported,0.2941,0.6397,,0.0147,0.0074,0.0441,,0.0662,,,,,,,,MST,,,,,,,,,,Excluded,Current severe substance use disorder on MINI for DSM-5: 0% (excluded),,,,,Current suicidal ideation with clear intent: 0% (excluded),,,,Active psychosis: 0% (excluded),,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"Acierno R, Jaffe AE, Gilmore AK, et al. A randomized clinical trial of in-person vs. home-based telemedicine delivery of prolonged exposure for PTSD in military sexual trauma survivors. J Anxiety Disord. 2021 Oct;83:102461. doi: 10.1016/j.janxdis.2021.102461. PMID: 34391978.",1575093,2023
adenauer2011,2011,Psychotherapy,PTSD,34,,1,,CAPS,84.5,15.7,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,33.5,9.6,,0.4412,,0.5588,,,,,,,,,,,,,0.8235,,,,Terrorism/political violence/forced displacement,,,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (10.38578 51.10698),High,"Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.",37889,2019
ahmadi2015,2015,Other mixed,PTSD,48,,1,,,,,,Additional definitions of PTSD severity at baseline reported in the study,,,,1,,,0,0,Active Duty Military,,29.9,7.8,,0,,1,,,,,,,,,,,0%,,,,,,Combat-related,,,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,1,,POINT (54.27407 32.57503),High,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",46896,2019
ahmadizadeh2018,2018,Nonpharmacologic biological,PTSD,65,,1,,PCL-M,70.8,8.58,,Additional definitions of PTSD severity at baseline reported in the study,25.77,4.93,,0,,,1,0,Veteran,,50.45,7.31,,0,,1,,,,,,,,,,,,68.97% psychotherapy-naïve; 22.41% pharmacotherapy-naive,,,0%,,Combat-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (54.27407 32.57503),Some Concerns,"Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.",50480,2019
ahmadizadeh2019,2019,Nonpharmacologic biological,PTSD,40,,1,,PCL-5,54.29,2.86,,Additional definitions of PTSD severity at baseline reported in the study,,,mean 2.22 (SD 0.86) years since index trauma,,,,,1,Community,,43.75,10.56,,0.65,,0.35,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,POINT (54.27407 32.57503),High,"Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.",1545324,2020
ahmadpanah2014,2014,Pharmacotherapy,PTSD,100,,1,,MINI,7,0.37,,Additional definitions of PTSD severity at baseline reported in the study,7.85,1.38,,,,,,1,Community,,35.51,6.41,,0.28,,0.72,,,,,,,,,,,,,0,,,,Mixed,"combat-related, accidents, natural or manmade disasters, other (not specified)",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (54.27407 32.57503),Low,"Ahmadpanah M, Sabzeiee P, Hosseini SM, et al. Comparing the effect of prazosin and hydroxyzine on sleep quality in patients suffering from posttraumatic stress disorder. Neuropsychobiology. 2014 Jul;69(4):235-42. doi: 10.1159/000362243. PMID: 24993832.",43996,2019
